"","Overall.rank","Country.or.region","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","year"
"69",69,"Hungary",5.62,1.171,1.401,0.732,0.259,0.061,2018
"70",70,"Libya",5.566,0.985,1.35,0.553,0.496,0.116,2018
"71",71,"Philippines",5.524,0.775,1.312,0.513,0.643,0.12,2018
"72",72,"Honduras",5.504,0.62,1.205,0.622,0.459,0.197,2018
"73",73,"Belarus",5.483,1.039,1.498,0.7,0.307,0.101,2018
"74",74,"Turkey",5.483,1.148,1.38,0.686,0.324,0.106,2018
"75",75,"Pakistan",5.472,0.652,0.81,0.424,0.334,0.216,2018
"76",76,"Hong Kong",5.43,1.405,1.29,1.03,0.524,0.246,2018
"77",77,"Portugal",5.41,1.188,1.429,0.884,0.562,0.055,2018
"78",78,"Serbia",5.398,0.975,1.369,0.685,0.288,0.134,2018
"79",79,"Greece",5.358,1.154,1.202,0.879,0.131,0,2018
"80",80,"Lebanon",5.358,0.965,1.179,0.785,0.503,0.214,2018
"81",81,"Montenegro",5.347,1.017,1.279,0.729,0.259,0.111,2018
"82",82,"Croatia",5.321,1.115,1.161,0.737,0.38,0.12,2018
"83",83,"Dominican Republic",5.302,0.982,1.441,0.614,0.578,0.12,2018
"84",84,"Algeria",5.295,0.979,1.154,0.687,0.077,0.055,2018
"85",85,"Morocco",5.254,0.779,0.797,0.669,0.46,0.026,2018
"86",86,"China",5.246,0.989,1.142,0.799,0.597,0.029,2018
"87",87,"Azerbaijan",5.201,1.024,1.161,0.603,0.43,0.031,2018
"88",88,"Tajikistan",5.199,0.474,1.166,0.598,0.292,0.187,2018
"89",89,"Macedonia",5.185,0.959,1.239,0.691,0.394,0.173,2018
"90",90,"Jordan",5.161,0.822,1.265,0.645,0.468,0.13,2018
"91",91,"Nigeria",5.155,0.689,1.172,0.048,0.462,0.201,2018
"92",92,"Kyrgyzstan",5.131,0.53,1.416,0.594,0.54,0.281,2018
"93",93,"Bosnia and Herzegovina",5.129,0.915,1.078,0.758,0.28,0.216,2018
"94",94,"Mongolia",5.125,0.914,1.517,0.575,0.395,0.253,2018
"95",95,"Vietnam",5.103,0.715,1.365,0.702,0.618,0.177,2018
"96",96,"Indonesia",5.093,0.899,1.215,0.522,0.538,0.484,2018
"97",97,"Bhutan",5.082,0.796,1.335,0.527,0.541,0.364,2018
"98",98,"Somalia",4.982,0,0.712,0.115,0.674,0.238,2018
"99",99,"Cameroon",4.975,0.535,0.891,0.182,0.454,0.183,2018
"100",100,"Bulgaria",4.933,1.054,1.515,0.712,0.359,0.064,2018
"101",101,"Nepal",4.88,0.425,1.228,0.539,0.526,0.302,2018
"102",102,"Venezuela",4.806,0.996,1.469,0.657,0.133,0.056,2018
"103",103,"Gabon",4.758,1.036,1.164,0.404,0.356,0.032,2018
"104",104,"Palestinian Territories",4.743,0.642,1.217,0.602,0.266,0.086,2018
"105",105,"South Africa",4.724,0.94,1.41,0.33,0.516,0.103,2018
"106",106,"Iran",4.707,1.059,0.771,0.691,0.459,0.282,2018
"107",107,"Ivory Coast",4.671,0.541,0.872,0.08,0.467,0.146,2018
"108",108,"Ghana",4.657,0.592,0.896,0.337,0.499,0.212,2018
"109",109,"Senegal",4.631,0.429,1.117,0.433,0.406,0.138,2018
"110",110,"Laos",4.623,0.72,1.034,0.441,0.626,0.23,2018
"111",111,"Tunisia",4.592,0.9,0.906,0.69,0.271,0.04,2018
"112",112,"Albania",4.586,0.916,0.817,0.79,0.419,0.149,2018
"113",113,"Sierra Leone",4.571,0.256,0.813,0,0.355,0.238,2018
"114",114,"Congo (Brazzaville)",4.559,0.682,0.811,0.343,0.514,0.091,2018
"115",115,"Bangladesh",4.5,0.532,0.85,0.579,0.58,0.153,2018
"116",116,"Sri Lanka",4.471,0.918,1.314,0.672,0.585,0.307,2018
"117",117,"Iraq",4.456,1.01,0.971,0.536,0.304,0.148,2018
"118",118,"Mali",4.447,0.37,1.233,0.152,0.367,0.139,2018
"119",119,"Namibia",4.441,0.874,1.281,0.365,0.519,0.051,2018
"120",120,"Cambodia",4.433,0.549,1.088,0.457,0.696,0.256,2018
"121",121,"Burkina Faso",4.424,0.314,1.097,0.254,0.312,0.175,2018
"122",122,"Egypt",4.419,0.885,1.025,0.553,0.312,0.092,2018
"123",123,"Mozambique",4.417,0.198,0.902,0.173,0.531,0.206,2018
"124",124,"Kenya",4.41,0.493,1.048,0.454,0.504,0.352,2018
"125",125,"Zambia",4.377,0.562,1.047,0.295,0.503,0.221,2018
"126",126,"Mauritania",4.356,0.557,1.245,0.292,0.129,0.134,2018
"127",127,"Ethiopia",4.35,0.308,0.95,0.391,0.452,0.22,2018
"128",128,"Georgia",4.34,0.853,0.592,0.643,0.375,0.038,2018
"129",129,"Armenia",4.321,0.816,0.99,0.666,0.26,0.077,2018
"130",130,"Myanmar",4.308,0.682,1.174,0.429,0.58,0.598,2018
"131",131,"Chad",4.301,0.358,0.907,0.053,0.189,0.181,2018
"132",132,"Congo (Kinshasa)",4.245,0.069,1.136,0.204,0.312,0.197,2018
"133",133,"India",4.19,0.721,0.747,0.485,0.539,0.172,2018
"134",134,"Niger",4.166,0.131,0.867,0.221,0.39,0.175,2018
"135",135,"Uganda",4.161,0.322,1.09,0.237,0.45,0.259,2018
"136",136,"Benin",4.141,0.378,0.372,0.24,0.44,0.163,2018
"137",137,"Sudan",4.139,0.605,1.24,0.312,0.016,0.134,2018
"138",138,"Ukraine",4.103,0.793,1.413,0.609,0.163,0.187,2018
"139",139,"Togo",3.999,0.259,0.474,0.253,0.434,0.158,2018
"140",140,"Guinea",3.964,0.344,0.792,0.211,0.394,0.185,2018
"141",141,"Lesotho",3.808,0.472,1.215,0.079,0.423,0.116,2018
"142",142,"Angola",3.795,0.73,1.125,0.269,0,0.079,2018
"143",143,"Madagascar",3.774,0.262,0.908,0.402,0.221,0.155,2018
"144",144,"Zimbabwe",3.692,0.357,1.094,0.248,0.406,0.132,2018
"145",145,"Afghanistan",3.632,0.332,0.537,0.255,0.085,0.191,2018
"146",146,"Botswana",3.59,1.017,1.174,0.417,0.557,0.042,2018
"147",147,"Malawi",3.587,0.186,0.541,0.306,0.531,0.21,2018
"148",148,"Haiti",3.582,0.315,0.714,0.289,0.025,0.392,2018
"149",149,"Liberia",3.495,0.076,0.858,0.267,0.419,0.206,2018
"150",150,"Syria",3.462,0.689,0.382,0.539,0.088,0.376,2018
"151",151,"Rwanda",3.408,0.332,0.896,0.4,0.636,0.2,2018
"152",152,"Yemen",3.355,0.442,1.073,0.343,0.244,0.083,2018
"153",153,"Tanzania",3.303,0.455,0.991,0.381,0.481,0.27,2018
"154",154,"South Sudan",3.254,0.337,0.608,0.177,0.112,0.224,2018
"155",155,"Central African Republic",3.083,0.024,0,0.01,0.305,0.218,2018
"156",156,"Burundi",2.905,0.091,0.627,0.145,0.065,0.149,2018
"157",1,"Finland",7.769,1.34,1.587,0.986,0.596,0.153,2019
"158",2,"Denmark",7.6,1.383,1.573,0.996,0.592,0.252,2019
"159",3,"Norway",7.554,1.488,1.582,1.028,0.603,0.271,2019
"160",4,"Iceland",7.494,1.38,1.624,1.026,0.591,0.354,2019
"161",5,"Netherlands",7.488,1.396,1.522,0.999,0.557,0.322,2019
"162",6,"Switzerland",7.48,1.452,1.526,1.052,0.572,0.263,2019
"163",7,"Sweden",7.343,1.387,1.487,1.009,0.574,0.267,2019
"164",8,"New Zealand",7.307,1.303,1.557,1.026,0.585,0.33,2019
"165",9,"Canada",7.278,1.365,1.505,1.039,0.584,0.285,2019
"166",10,"Austria",7.246,1.376,1.475,1.016,0.532,0.244,2019
"167",11,"Australia",7.228,1.372,1.548,1.036,0.557,0.332,2019
"168",12,"Costa Rica",7.167,1.034,1.441,0.963,0.558,0.144,2019
"169",13,"Israel",7.139,1.276,1.455,1.029,0.371,0.261,2019
"170",14,"Luxembourg",7.09,1.609,1.479,1.012,0.526,0.194,2019
"171",15,"United Kingdom",7.054,1.333,1.538,0.996,0.45,0.348,2019
"172",16,"Ireland",7.021,1.499,1.553,0.999,0.516,0.298,2019
"173",17,"Germany",6.985,1.373,1.454,0.987,0.495,0.261,2019
"174",18,"Belgium",6.923,1.356,1.504,0.986,0.473,0.16,2019
"175",19,"United States",6.892,1.433,1.457,0.874,0.454,0.28,2019
"176",20,"Czech Republic",6.852,1.269,1.487,0.92,0.457,0.046,2019
"177",21,"United Arab Emirates",6.825,1.503,1.31,0.825,0.598,0.262,2019
"178",22,"Malta",6.726,1.3,1.52,0.999,0.564,0.375,2019
"179",23,"Mexico",6.595,1.07,1.323,0.861,0.433,0.074,2019
"180",24,"France",6.592,1.324,1.472,1.045,0.436,0.111,2019
"181",25,"Taiwan",6.446,1.368,1.43,0.914,0.351,0.242,2019
"182",26,"Chile",6.444,1.159,1.369,0.92,0.357,0.187,2019
"183",27,"Guatemala",6.436,0.8,1.269,0.746,0.535,0.175,2019
"184",28,"Saudi Arabia",6.375,1.403,1.357,0.795,0.439,0.08,2019
"185",29,"Qatar",6.374,1.684,1.313,0.871,0.555,0.22,2019
"186",30,"Spain",6.354,1.286,1.484,1.062,0.362,0.153,2019
"187",31,"Panama",6.321,1.149,1.442,0.91,0.516,0.109,2019
"188",32,"Brazil",6.3,1.004,1.439,0.802,0.39,0.099,2019
"189",33,"Uruguay",6.293,1.124,1.465,0.891,0.523,0.127,2019
"190",34,"Singapore",6.262,1.572,1.463,1.141,0.556,0.271,2019
"191",35,"El Salvador",6.253,0.794,1.242,0.789,0.43,0.093,2019
"192",36,"Italy",6.223,1.294,1.488,1.039,0.231,0.158,2019
"193",37,"Bahrain",6.199,1.362,1.368,0.871,0.536,0.255,2019
"194",38,"Slovakia",6.198,1.246,1.504,0.881,0.334,0.121,2019
"195",39,"Trinidad & Tobago",6.192,1.231,1.477,0.713,0.489,0.185,2019
"196",40,"Poland",6.182,1.206,1.438,0.884,0.483,0.117,2019
"197",41,"Uzbekistan",6.174,0.745,1.529,0.756,0.631,0.322,2019
"198",42,"Lithuania",6.149,1.238,1.515,0.818,0.291,0.043,2019
"199",43,"Colombia",6.125,0.985,1.41,0.841,0.47,0.099,2019
"200",44,"Slovenia",6.118,1.258,1.523,0.953,0.564,0.144,2019
"201",45,"Nicaragua",6.105,0.694,1.325,0.835,0.435,0.2,2019
"202",46,"Kosovo",6.1,0.882,1.232,0.758,0.489,0.262,2019
"203",47,"Argentina",6.086,1.092,1.432,0.881,0.471,0.066,2019
"204",48,"Romania",6.07,1.162,1.232,0.825,0.462,0.083,2019
"205",49,"Cyprus",6.046,1.263,1.223,1.042,0.406,0.19,2019
"206",50,"Ecuador",6.028,0.912,1.312,0.868,0.498,0.126,2019
"207",51,"Kuwait",6.021,1.5,1.319,0.808,0.493,0.142,2019
"208",52,"Thailand",6.008,1.05,1.409,0.828,0.557,0.359,2019
"209",53,"Latvia",5.94,1.187,1.465,0.812,0.264,0.075,2019
"210",54,"South Korea",5.895,1.301,1.219,1.036,0.159,0.175,2019
"211",55,"Estonia",5.893,1.237,1.528,0.874,0.495,0.103,2019
"212",56,"Jamaica",5.89,0.831,1.478,0.831,0.49,0.107,2019
"213",57,"Mauritius",5.888,1.12,1.402,0.798,0.498,0.215,2019
"214",58,"Japan",5.886,1.327,1.419,1.088,0.445,0.069,2019
"215",59,"Honduras",5.86,0.642,1.236,0.828,0.507,0.246,2019
"216",60,"Kazakhstan",5.809,1.173,1.508,0.729,0.41,0.146,2019
"217",61,"Bolivia",5.779,0.776,1.209,0.706,0.511,0.137,2019
"218",62,"Hungary",5.758,1.201,1.41,0.828,0.199,0.081,2019
"219",63,"Paraguay",5.743,0.855,1.475,0.777,0.514,0.184,2019
"220",64,"Northern Cyprus",5.718,1.263,1.252,1.042,0.417,0.191,2019
"221",65,"Peru",5.697,0.96,1.274,0.854,0.455,0.083,2019
"222",66,"Portugal",5.693,1.221,1.431,0.999,0.508,0.047,2019
"223",67,"Pakistan",5.653,0.677,0.886,0.535,0.313,0.22,2019
"224",68,"Russia",5.648,1.183,1.452,0.726,0.334,0.082,2019
"225",69,"Philippines",5.631,0.807,1.293,0.657,0.558,0.117,2019
"226",70,"Serbia",5.603,1.004,1.383,0.854,0.282,0.137,2019
"227",71,"Moldova",5.529,0.685,1.328,0.739,0.245,0.181,2019
"228",72,"Libya",5.525,1.044,1.303,0.673,0.416,0.133,2019
"229",73,"Montenegro",5.523,1.051,1.361,0.871,0.197,0.142,2019
"230",74,"Tajikistan",5.467,0.493,1.098,0.718,0.389,0.23,2019
"231",75,"Croatia",5.432,1.155,1.266,0.914,0.296,0.119,2019
"232",76,"Hong Kong",5.43,1.438,1.277,1.122,0.44,0.258,2019
"233",77,"Dominican Republic",5.425,1.015,1.401,0.779,0.497,0.113,2019
"234",78,"Bosnia and Herzegovina",5.386,0.945,1.212,0.845,0.212,0.263,2019
"235",79,"Turkey",5.373,1.183,1.36,0.808,0.195,0.083,2019
"236",80,"Malaysia",5.339,1.221,1.171,0.828,0.508,0.26,2019
"237",81,"Belarus",5.323,1.067,1.465,0.789,0.235,0.094,2019
"238",82,"Greece",5.287,1.181,1.156,0.999,0.067,0,2019
"239",83,"Mongolia",5.285,0.948,1.531,0.667,0.317,0.235,2019
"240",84,"North Macedonia",5.274,0.983,1.294,0.838,0.345,0.185,2019
"241",85,"Nigeria",5.265,0.696,1.111,0.245,0.426,0.215,2019
"242",86,"Kyrgyzstan",5.261,0.551,1.438,0.723,0.508,0.3,2019
"243",87,"Turkmenistan",5.247,1.052,1.538,0.657,0.394,0.244,2019
"244",88,"Algeria",5.211,1.002,1.16,0.785,0.086,0.073,2019
"245",89,"Morocco",5.208,0.801,0.782,0.782,0.418,0.036,2019
"246",90,"Azerbaijan",5.208,1.043,1.147,0.769,0.351,0.035,2019
"247",91,"Lebanon",5.197,0.987,1.224,0.815,0.216,0.166,2019
"248",92,"Indonesia",5.192,0.931,1.203,0.66,0.491,0.498,2019
"249",93,"China",5.191,1.029,1.125,0.893,0.521,0.058,2019
"250",94,"Vietnam",5.175,0.741,1.346,0.851,0.543,0.147,2019
"251",95,"Bhutan",5.082,0.813,1.321,0.604,0.457,0.37,2019
"252",96,"Cameroon",5.044,0.549,0.91,0.331,0.381,0.187,2019
"253",97,"Bulgaria",5.011,1.092,1.513,0.815,0.311,0.081,2019
"254",98,"Ghana",4.996,0.611,0.868,0.486,0.381,0.245,2019
"255",99,"Ivory Coast",4.944,0.569,0.808,0.232,0.352,0.154,2019
"256",100,"Nepal",4.913,0.446,1.226,0.677,0.439,0.285,2019
"257",101,"Jordan",4.906,0.837,1.225,0.815,0.383,0.11,2019
"258",102,"Benin",4.883,0.393,0.437,0.397,0.349,0.175,2019
"259",103,"Congo (Brazzaville)",4.812,0.673,0.799,0.508,0.372,0.105,2019
"260",104,"Gabon",4.799,1.057,1.183,0.571,0.295,0.043,2019
"261",105,"Laos",4.796,0.764,1.03,0.551,0.547,0.266,2019
"262",106,"South Africa",4.722,0.96,1.351,0.469,0.389,0.13,2019
"263",107,"Albania",4.719,0.947,0.848,0.874,0.383,0.178,2019
"264",108,"Venezuela",4.707,0.96,1.427,0.805,0.154,0.064,2019
"265",109,"Cambodia",4.7,0.574,1.122,0.637,0.609,0.232,2019
"266",110,"Palestinian Territories",4.696,0.657,1.247,0.672,0.225,0.103,2019
"267",111,"Senegal",4.681,0.45,1.134,0.571,0.292,0.153,2019
"268",112,"Somalia",4.668,0,0.698,0.268,0.559,0.243,2019
"269",113,"Namibia",4.639,0.879,1.313,0.477,0.401,0.07,2019
"270",114,"Niger",4.628,0.138,0.774,0.366,0.318,0.188,2019
"271",115,"Burkina Faso",4.587,0.331,1.056,0.38,0.255,0.177,2019
"272",116,"Armenia",4.559,0.85,1.055,0.815,0.283,0.095,2019
"273",117,"Iran",4.548,1.1,0.842,0.785,0.305,0.27,2019
"274",118,"Guinea",4.534,0.38,0.829,0.375,0.332,0.207,2019
"275",119,"Georgia",4.519,0.886,0.666,0.752,0.346,0.043,2019
"276",120,"Gambia",4.516,0.308,0.939,0.428,0.382,0.269,2019
"277",121,"Kenya",4.509,0.512,0.983,0.581,0.431,0.372,2019
"278",122,"Mauritania",4.49,0.57,1.167,0.489,0.066,0.106,2019
"279",123,"Mozambique",4.466,0.204,0.986,0.39,0.494,0.197,2019
"280",124,"Tunisia",4.461,0.921,1,0.815,0.167,0.059,2019
"281",125,"Bangladesh",4.456,0.562,0.928,0.723,0.527,0.166,2019
"282",126,"Iraq",4.437,1.043,0.98,0.574,0.241,0.148,2019
"283",127,"Congo (Kinshasa)",4.418,0.094,1.125,0.357,0.269,0.212,2019
"284",128,"Mali",4.39,0.385,1.105,0.308,0.327,0.153,2019
"285",129,"Sierra Leone",4.374,0.268,0.841,0.242,0.309,0.252,2019
"286",130,"Sri Lanka",4.366,0.949,1.265,0.831,0.47,0.244,2019
"287",131,"Myanmar",4.36,0.71,1.181,0.555,0.525,0.566,2019
"288",132,"Chad",4.35,0.35,0.766,0.192,0.174,0.198,2019
"289",133,"Ukraine",4.332,0.82,1.39,0.739,0.178,0.187,2019
"290",134,"Ethiopia",4.286,0.336,1.033,0.532,0.344,0.209,2019
"291",135,"Swaziland",4.212,0.811,1.149,0,0.313,0.074,2019
"292",136,"Uganda",4.189,0.332,1.069,0.443,0.356,0.252,2019
"293",137,"Egypt",4.166,0.913,1.039,0.644,0.241,0.076,2019
"294",138,"Zambia",4.107,0.578,1.058,0.426,0.431,0.247,2019
"295",139,"Togo",4.085,0.275,0.572,0.41,0.293,0.177,2019
"296",140,"India",4.015,0.755,0.765,0.588,0.498,0.2,2019
"297",141,"Liberia",3.975,0.073,0.922,0.443,0.37,0.233,2019
"298",142,"Comoros",3.973,0.274,0.757,0.505,0.142,0.275,2019
"299",143,"Madagascar",3.933,0.274,0.916,0.555,0.148,0.169,2019
"300",144,"Lesotho",3.802,0.489,1.169,0.168,0.359,0.107,2019
"301",145,"Burundi",3.775,0.046,0.447,0.38,0.22,0.176,2019
"302",146,"Zimbabwe",3.663,0.366,1.114,0.433,0.361,0.151,2019
"303",147,"Haiti",3.597,0.323,0.688,0.449,0.026,0.419,2019
"304",148,"Botswana",3.488,1.041,1.145,0.538,0.455,0.025,2019
"305",149,"Syria",3.462,0.619,0.378,0.44,0.013,0.331,2019
"306",150,"Malawi",3.41,0.191,0.56,0.495,0.443,0.218,2019
"307",151,"Yemen",3.38,0.287,1.163,0.463,0.143,0.108,2019
"308",152,"Rwanda",3.334,0.359,0.711,0.614,0.555,0.217,2019
"309",153,"Tanzania",3.231,0.476,0.885,0.499,0.417,0.276,2019
"310",154,"Afghanistan",3.203,0.35,0.517,0.361,0,0.158,2019
"311",155,"Central African Republic",3.083,0.026,0,0.105,0.225,0.235,2019
"312",156,"South Sudan",2.853,0.306,0.575,0.295,0.01,0.202,2019
